,PIT,,2003,2004,2007,2008,2009 Winter,2009 Summer,2010 Winter,2010 Summer,2011 Winter,2011 Summer,2012 Winter,2012 Summer,2013 Winter,2013 Summer,2014 Winter,2014 Summer,,Teeth 1 ,Teeth 2,Teeth 3,,Male,Female,,Summer,Winter,,Weight,
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,680,;
/*,24257848,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,770,;
/*,24257848,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,660,;
/*,24257848,*/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,800,;
/*,24257848,*/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,,1,0,,0,1,,820,;
/*,24258515,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,480,;
/*,24258515,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,484.538785,;
/*,24258515,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,380,;
/*,24258515,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,477.268237,;
/*,24261316,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,0,1,,360,;
/*,24262306,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,1,0,,430,;
/*,24264370,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,660,;
/*,24264370,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,478.590155,;
/*,24264370,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,780,;
/*,24264370,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,468.67577,;
/*,24265105,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,0,1,,330,;
/*,24266856,*/,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,1,,0,1,,550,;
/*,24269347,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,390,;
/*,24271337,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,410,;
/*,24271337,*/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,1,0,,1,0,,477.929196,;
/*,24271337,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,380,;
/*,24271337,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,460.744263,;
/*,24271337,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,390,;
/*,24271337,*/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,1,,1,0,,460.083304,;
/*,24271824,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,660,;
/*,24271824,*/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,,1,0,,1,0,,750,;
